Month,Metric,Score
12,test_accuracy,0.665802437127301
12,test_accuracy,0.6665802437127301
12,test_precision,0.6457446808510638
12,test_precision,0.653659849300323
12,test_precision,0.6545405551064403
12,test_precision,0.6533082302313071
12,test_precision,0.6539186641529761
12,test_f1,0.7846178704152529
12,test_f1,0.7905614320585842
12,test_f1,0.7912052117263844
12,test_f1,0.7903042134374492
12,test_f1,0.7906219472484532
13,test_accuracy,0.6536273115220483
13,test_accuracy,0.6536273115220483
13,test_accuracy,0.6568650699549443
13,test_accuracy,0.6509366848470477
13,test_accuracy,0.6578136115722077
13,test_precision,0.6461612981351417
13,test_precision,0.6463030303030303
13,test_precision,0.6483463035019456
13,test_precision,0.6444444444444445
13,test_precision,0.6489905132571151
13,test_f1,0.7850522289245255
13,test_f1,0.7849256587663771
13,test_f1,0.7865466883021095
